date,district,month,visitors,year
01-01-2016,Komaram Bheem Asifabad,January, ,2016
01-02-2016,Komaram Bheem Asifabad,February, ,2016
01-03-2016,Komaram Bheem Asifabad,March, ,2016
01-04-2016,Komaram Bheem Asifabad,April, ,2016
01-05-2016,Komaram Bheem Asifabad,May, ,2016
01-06-2016,Komaram Bheem Asifabad,June, ,2016
01-07-2016,Komaram Bheem Asifabad,July, ,2016
01-08-2016,Komaram Bheem Asifabad,August, ,2016
01-09-2016,Komaram Bheem Asifabad,September, ,2016
01-10-2016,Komaram Bheem Asifabad,October,0,2016
01-11-2016,Komaram Bheem Asifabad,November,0,2016
01-12-2016,Komaram Bheem Asifabad,December,0,2016
01-01-2016,Mahabubabad ,January, ,2016
01-02-2016,Mahabubabad ,February, ,2016
01-03-2016,Mahabubabad ,March, ,2016
01-04-2016,Mahabubabad ,April, ,2016
01-05-2016,Mahabubabad ,May, ,2016
01-06-2016,Mahabubabad ,June, ,2016
01-07-2016,Mahabubabad ,July, ,2016
01-08-2016,Mahabubabad ,August, ,2016
01-09-2016,Mahabubabad ,September, ,2016
01-10-2016,Mahabubabad ,October,0,2016
01-11-2016,Mahabubabad ,November,0,2016
01-12-2016,Mahabubabad ,December,0,2016
01-01-2016,Mahbubnagar,January,123,2016
01-02-2016,Mahbubnagar,February,126,2016
01-03-2016,Mahbubnagar,March,103,2016
01-04-2016,Mahbubnagar,April,75,2016
01-05-2016,Mahbubnagar,May,58,2016
01-06-2016,Mahbubnagar,June,68,2016
01-07-2016,Mahbubnagar,July,63,2016
01-08-2016,Mahbubnagar,August,86,2016
01-09-2016,Mahbubnagar,September,74,2016
01-10-2016,Mahbubnagar,October,37,2016
01-11-2016,Mahbubnagar,November,29,2016
01-12-2016,Mahbubnagar,December,26,2016
01-01-2016,Mancherial,January, ,2016
01-02-2016,Mancherial,February, ,2016
01-03-2016,Mancherial,March, ,2016
01-04-2016,Mancherial,April, ,2016
01-05-2016,Mancherial,May, ,2016
01-06-2016,Mancherial,June, ,2016
01-07-2016,Mancherial,July, ,2016
01-08-2016,Mancherial,August, ,2016
01-09-2016,Mancherial,September, ,2016
01-10-2016,Mancherial,October,0,2016
01-11-2016,Mancherial,November,0,2016
01-12-2016,Mancherial,December,0,2016
01-01-2016,Medak ,January,0,2016
01-02-2016,Medak ,February,0,2016
01-03-2016,Medak ,March,0,2016
01-04-2016,Medak ,April,0,2016
01-05-2016,Medak ,May,0,2016
01-06-2016,Medak ,June,0,2016
01-07-2016,Medak ,July,0,2016
01-08-2016,Medak ,August,0,2016
01-09-2016,Medak ,September,0,2016
01-10-2016,Medak ,October,0,2016
01-11-2016,Medak ,November,0,2016
01-12-2016,Medak ,December,0,2016
01-01-2016,Medchal ,January, ,2016
01-02-2016,Medchal ,February, ,2016
01-03-2016,Medchal ,March, ,2016
01-04-2016,Medchal ,April, ,2016
01-05-2016,Medchal ,May, ,2016
01-06-2016,Medchal ,June, ,2016
01-07-2016,Medchal ,July, ,2016
01-08-2016,Medchal ,August, ,2016
01-09-2016,Medchal ,September, ,2016
01-10-2016,Medchal ,October, ,2016
01-11-2016,Medchal ,November, ,2016
01-12-2016,Medchal ,December, ,2016
01-01-2016,Nagarkurnool ,January, ,2016
01-02-2016,Nagarkurnool ,February, ,2016
01-03-2016,Nagarkurnool ,March, ,2016
01-04-2016,Nagarkurnool ,April, ,2016
01-05-2016,Nagarkurnool ,May, ,2016
01-06-2016,Nagarkurnool ,June, ,2016
01-07-2016,Nagarkurnool ,July, ,2016
01-08-2016,Nagarkurnool ,August, ,2016
01-09-2016,Nagarkurnool ,September, ,2016
01-10-2016,Nagarkurnool ,October,8,2016
01-11-2016,Nagarkurnool ,November,11,2016
01-12-2016,Nagarkurnool ,December,10,2016
01-01-2016,Nalgonda,January,0,2016
01-02-2016,Nalgonda,February,0,2016
01-03-2016,Nalgonda,March,0,2016
01-04-2016,Nalgonda,April,0,2016
01-05-2016,Nalgonda,May,0,2016
01-06-2016,Nalgonda,June,0,2016
01-07-2016,Nalgonda,July,0,2016
01-08-2016,Nalgonda,August,0,2016
01-09-2016,Nalgonda,September,0,2016
01-10-2016,Nalgonda,October,0,2016
01-11-2016,Nalgonda,November,0,2016
01-12-2016,Nalgonda,December,0,2016
01-01-2016,Nirmal,January, ,2016
01-02-2016,Nirmal,February, ,2016
01-03-2016,Nirmal,March, ,2016
01-04-2016,Nirmal,April, ,2016
01-05-2016,Nirmal,May, ,2016
01-06-2016,Nirmal,June, ,2016
01-07-2016,Nirmal,July, ,2016
