date,district,month,visitors,year
01-10-2016,Mahabubabad ,October,13032,2016
01-08-2016,Mahabubabad ,August,0,2016
01-06-2017,Mahbubnagar,June,179210,2017
01-11-2017,Mahbubnagar,November,259060,2017
01-08-2017,Mahbubnagar,August,215229,2017
01-04-2019,Mahbubnagar,April,183268,2019
01-02-2019,Mahbubnagar,February,798949,2019
01-12-2017,Mahbubnagar,December,426167,2017
01-12-2016,Mahbubnagar,December,210202,2016
01-05-2017,Mahbubnagar,May,214209,2017
01-07-2017,Mahbubnagar,July,179099,2017
01-09-2017,Mahbubnagar,September,180675,2017
01-03-2018,Mahbubnagar,March,166863,2018
01-01-2017,Mahbubnagar,January,446135,2017
01-06-2019,Mahbubnagar,June,175853,2019
01-11-2019,Mahbubnagar,November,234066,2019
01-09-2019,Mahbubnagar,September,141387,2019
01-12-2019,Mahbubnagar,December,148938,2019
01-01-2019,Mahbubnagar,January,168082,2019
01-08-2016,Mahbubnagar,August,1133105,2016
01-08-2019,Mahbubnagar,August,104787,2019
01-04-2018,Mahbubnagar,April,196061,2018
01-05-2018,Mahbubnagar,May,193478,2018
01-09-2016,Mahbubnagar,September,567712,2016
01-07-2018,Mahbubnagar,July,161841,2018
01-10-2017,Mahbubnagar,October,196103,2017
01-10-2019,Mahbubnagar,October,130227,2019
01-07-2019,Mahbubnagar,July,100398,2019
01-01-2018,Mahbubnagar,January,156153,2018
01-06-2018,Mahbubnagar,June,165553,2018
01-04-2016,Mahbubnagar,April,622432,2016
01-06-2016,Mahbubnagar,June,561006,2016
01-09-2018,Mahbubnagar,September,167833,2018
01-10-2016,Mahbubnagar,October,198592,2016
01-05-2016,Mahbubnagar,May,571898,2016
01-11-2016,Mahbubnagar,November,256375,2016
01-03-2016,Mahbubnagar,March,1731983,2016
01-11-2018,Mahbubnagar,November,295910,2018
01-02-2018,Mahbubnagar,February,788083,2018
01-07-2016,Mahbubnagar,July,562322,2016
01-12-2018,Mahbubnagar,December,198227,2018
01-03-2017,Mahbubnagar,March,178256,2017
01-02-2017,Mahbubnagar,February,805392,2017
01-08-2018,Mahbubnagar,August,169154,2018
01-04-2017,Mahbubnagar,April,208694,2017
01-02-2016,Mahbubnagar,February,1312068,2016
01-03-2019,Mahbubnagar,March,173658,2019
01-05-2019,Mahbubnagar,May,175202,2019
01-10-2018,Mahbubnagar,October,193152,2018
01-01-2016,Mahbubnagar,January,577071,2016
01-08-2018,Mancherial,August,31861,2018
01-09-2019,Mancherial,September,24079,2019
01-05-2019,Mancherial,May,26616,2019
01-03-2018,Mancherial,March,20749,2018
01-06-2019,Mancherial,June,24593,2019
01-01-2019,Mancherial,January,18420,2019
01-01-2018,Mancherial,January,71955,2018
01-04-2018,Mancherial,April,38483,2018
01-02-2017,Mancherial,February,3130,2017
01-12-2016,Mancherial,December,2423,2016
01-04-2019,Mancherial,April,23026,2019
01-07-2019,Mancherial,July,22303,2019
01-12-2019,Mancherial,December,16835,2019
01-03-2019,Mancherial,March,16253,2019
01-10-2017,Mancherial,October,37671,2017
01-07-2017,Mancherial,July,33591,2017
01-06-2017,Mancherial,June,2119,2017
01-05-2017,Mancherial,May,1424,2017
01-09-2016,Mancherial,September,0,2016
01-12-2017,Mancherial,December,30328,2017
01-08-2017,Mancherial,August,26104,2017
01-01-2017,Mancherial,January,2937,2017
01-11-2017,Mancherial,November,25737,2017
01-10-2016,Mancherial,October,3124,2016
01-04-2016,Mancherial,April,0,2016
01-05-2016,Mancherial,May,0,2016
01-11-2018,Mancherial,November,25197,2018
01-08-2019,Mancherial,August,21191,2019
01-09-2017,Mancherial,September,24297,2017
01-11-2019,Mancherial,November,29302,2019
01-11-2016,Mancherial,November,2255,2016
01-10-2019,Mancherial,October,20867,2019
01-03-2016,Mancherial,March,0,2016
01-07-2018,Mancherial,July,27937,2018
01-01-2016,Mancherial,January,0,2016
01-02-2016,Mancherial,February,0,2016
01-06-2018,Mancherial,June,31667,2018
01-02-2019,Mancherial,February,26325,2019
01-10-2018,Mancherial,October,30740,2018
01-04-2017,Mancherial,April,1513,2017
01-09-2018,Mancherial,September,23141,2018
01-02-2018,Mancherial,February,38599,2018
01-05-2018,Mancherial,May,26179,2018
01-12-2018,Mancherial,December,31496,2018
01-06-2016,Mancherial,June,0,2016
01-08-2016,Mancherial,August,0,2016
01-07-2016,Mancherial,July,0,2016
01-03-2017,Mancherial,March,2775,2017
01-11-2016,Medak ,November,132300,2016
01-08-2017,Medak ,August,632830,2017
01-04-2016,Medak ,April,300000,2016
01-12-2018,Medak ,December,400000,2018
01-10-2016,Medak ,October,15600,2016
01-06-2018,Medak ,June,500000,2018
01-05-2018,Medak ,May,300000,2018
01-04-2019,Medak ,April,650000,2019
01-07-2017,Medak ,July,575300,2017
01-07-2018,Medak ,July,150000,2018
01-05-2016,Medak ,May,198000,2016
01-10-2018,Medak ,October,300000,2018
01-02-2019,Medak ,February,600000,2019
01-06-2017,Medak ,June,561469,2017
01-12-2016,Medak ,December,523000,2016
01-05-2017,Medak ,May,556891,2017
01-04-2017,Medak ,April,554864,2017
01-03-2018,Medak ,March,600000,2018
01-08-2016,Medak ,August,216100,2016
01-07-2019,Medak ,July,350000,2019
01-07-2016,Medak ,July,153300,2016
01-02-2017,Medak ,February,543321,2017
01-09-2017,Medak ,September,696113,2017
01-03-2019,Medak ,March,1000000,2019
01-06-2016,Medak ,June,166700,2016
01-05-2019,Medak ,May,400000,2019
01-10-2017,Medak ,October,765724,2017
01-10-2019,Medak ,October,350000,2019
01-12-2017,Medak ,December,926526,2017
01-09-2019,Medak ,September,350400,2019
01-06-2019,Medak ,June,300000,2019
01-02-2018,Medak ,February,1000000,2018
01-09-2018,Medak ,September,100000,2018
01-01-2018,Medak ,January,100000,2018
01-01-2016,Medak ,January,92600,2016
01-08-2019,Medak ,August,349900,2019
01-11-2017,Medak ,November,842296,2017
01-11-2019,Medak ,November,351560,2019
01-03-2017,Medak ,March,548535,2017
01-08-2018,Medak ,August,50000,2018
01-03-2016,Medak ,March,1318000,2016
01-04-2018,Medak ,April,200000,2018
01-09-2016,Medak ,September,132600,2016
01-11-2018,Medak ,November,200000,2018
01-01-2019,Medak ,January,400000,2019
01-01-2017,Medak ,January,523000,2017
01-12-2019,Medak ,December,350710,2019
01-02-2016,Medak ,February,215000,2016
01-07-2016,Medchal ,July,0,2016
01-03-2017,Medchal ,March,0,2017
01-12-2018,Medchal ,December,0,2018
01-09-2017,Medchal ,September,0,2017
01-01-2018,Medchal ,January,0,2018
01-01-2016,Medchal ,January,0,2016
01-11-2018,Medchal ,November,0,2018
01-01-2017,Medchal ,January,0,2017
01-08-2017,Medchal ,August,0,2017
01-11-2017,Medchal ,November,0,2017
01-05-2019,Medchal ,May,0,2019
01-06-2018,Medchal ,June,0,2018
01-07-2018,Medchal ,July,0,2018
01-11-2016,Medchal ,November,0,2016
01-05-2018,Medchal ,May,0,2018
01-03-2019,Medchal ,March,0,2019
01-10-2016,Medchal ,October,0,2016
01-02-2017,Medchal ,February,0,2017
01-07-2017,Medchal ,July,0,2017
01-10-2017,Medchal ,October,0,2017
01-08-2018,Medchal ,August,0,2018
01-04-2016,Medchal ,April,0,2016
01-04-2019,Medchal ,April,0,2019
01-06-2017,Medchal ,June,0,2017
01-05-2016,Medchal ,May,0,2016
01-09-2016,Medchal ,September,0,2016
01-11-2019,Medchal ,November,0,2019
01-09-2019,Medchal ,September,0,2019
01-08-2019,Medchal ,August,0,2019
01-07-2019,Medchal ,July,0,2019
01-06-2019,Medchal ,June,0,2019
01-01-2019,Medchal ,January,0,2019
01-02-2019,Medchal ,February,0,2019
01-10-2019,Medchal ,October,0,2019
01-03-2016,Medchal ,March,0,2016
01-08-2016,Medchal ,August,0,2016
01-04-2018,Medchal ,April,0,2018
01-04-2017,Medchal ,April,0,2017
01-12-2017,Medchal ,December,0,2017
01-10-2018,Medchal ,October,0,2018
01-12-2019,Medchal ,December,0,2019
01-02-2016,Medchal ,February,0,2016
01-05-2017,Medchal ,May,0,2017
01-09-2018,Medchal ,September,0,2018
01-02-2018,Medchal ,February,0,2018
01-06-2016,Medchal ,June,0,2016
01-03-2018,Medchal ,March,0,2018
01-12-2016,Medchal ,December,0,2016
01-04-2019,Mulugu,April,152570,2019
01-09-2019,Mulugu,September,172900,2019
01-06-2019,Mulugu,June,163480,2019
01-05-2019,Mulugu,May,154550,2019
01-03-2019,Mulugu,March,156610,2019
01-10-2019,Mulugu,October,172500,2019
01-01-2019,Mulugu,January,0,2019
01-12-2019,Mulugu,December,175100,2019
01-07-2019,Mulugu,July,167700,2019
01-11-2019,Mulugu,November,173700,2019
01-02-2019,Mulugu,February,159640,2019
01-08-2019,Mulugu,August,171050,2019
01-03-2018,Nagarkurnool ,March,184508,2018
01-01-2016,Nagarkurnool ,January,0,2016
01-10-2017,Nagarkurnool ,October,201050,2017
01-12-2017,Nagarkurnool ,December,382879,2017
01-03-2017,Nagarkurnool ,March,184508,2017
01-02-2017,Nagarkurnool ,February,286258,2017
01-09-2017,Nagarkurnool ,September,118010,2017
01-11-2017,Nagarkurnool ,November,188786,2017
01-09-2019,Nagarkurnool ,September,175712,2019
01-04-2019,Nagarkurnool ,April,121460,2019
01-08-2019,Nagarkurnool ,August,118010,2019
01-10-2019,Nagarkurnool ,October,196160,2019
01-04-2018,Nagarkurnool ,April,174592,2018
01-03-2019,Nagarkurnool ,March,184508,2019
01-01-2019,Nagarkurnool ,January,228812,2019
01-06-2019,Nagarkurnool ,June,184508,2019
01-11-2019,Nagarkurnool ,November,121425,2019
01-11-2016,Nagarkurnool ,November,188786,2016
01-07-2019,Nagarkurnool ,July,93450,2019
01-05-2019,Nagarkurnool ,May,184372,2019
01-01-2018,Nagarkurnool ,January,228812,2018
01-01-2017,Nagarkurnool ,January,382879,2017
01-02-2018,Nagarkurnool ,February,286258,2018
01-02-2019,Nagarkurnool ,February,286258,2019
01-04-2017,Nagarkurnool ,April,183697,2017
01-12-2019,Nagarkurnool ,December,198637,2019
01-07-2018,Nagarkurnool ,July,93450,2018
01-10-2016,Nagarkurnool ,October,201050,2016
01-09-2016,Nagarkurnool ,September,0,2016
01-08-2016,Nagarkurnool ,August,0,2016
01-07-2016,Nagarkurnool ,July,0,2016
01-05-2016,Nagarkurnool ,May,0,2016
01-06-2016,Nagarkurnool ,June,0,2016
01-12-2016,Nagarkurnool ,December,198637,2016
01-02-2016,Nagarkurnool ,February,0,2016
01-06-2018,Nagarkurnool ,June,180010,2018
01-04-2016,Nagarkurnool ,April,0,2016
01-05-2018,Nagarkurnool ,May,183697,2018
01-12-2018,Nagarkurnool ,December,198637,2018
01-10-2018,Nagarkurnool ,October,201050,2018
01-09-2018,Nagarkurnool ,September,118449,2018
01-06-2017,Nagarkurnool ,June,180010,2017
01-05-2017,Nagarkurnool ,May,183697,2017
01-08-2017,Nagarkurnool ,August,181861,2017
01-08-2018,Nagarkurnool ,August,118010,2018
01-11-2018,Nagarkurnool ,November,121452,2018
01-07-2017,Nagarkurnool ,July,180010,2017
01-03-2016,Nagarkurnool ,March,0,2016
01-11-2017,Nalgonda,November,17687,2017
01-12-2017,Nalgonda,December,25897,2017
01-01-2017,Nalgonda,January,4447,2017
01-11-2019,Nalgonda,November,7177,2019
01-03-2019,Nalgonda,March,8467,2019
01-06-2017,Nalgonda,June,37879,2017
01-02-2019,Nalgonda,February,13697,2019
01-02-2017,Nalgonda,February,8652,2017
01-09-2019,Nalgonda,September,5230,2019
01-08-2019,Nalgonda,August,7473,2019
01-10-2018,Nalgonda,October,22332,2018
01-02-2016,Nalgonda,February,539467,2016
01-10-2017,Nalgonda,October,36066,2017
01-09-2017,Nalgonda,September,17465,2017
01-06-2019,Nalgonda,June,5558,2019
01-09-2016,Nalgonda,September,742402,2016
01-04-2019,Nalgonda,April,7202,2019
01-01-2018,Nalgonda,January,36205,2018
01-07-2017,Nalgonda,July,21361,2017
01-02-2018,Nalgonda,February,9971,2018
01-05-2019,Nalgonda,May,26338,2019
01-11-2018,Nalgonda,November,5422,2018
01-04-2017,Nalgonda,April,44295,2017
01-01-2019,Nalgonda,January,21284,2019
01-09-2018,Nalgonda,September,21365,2018
01-03-2016,Nalgonda,March,619462,2016
01-12-2016,Nalgonda,December,13775,2016
01-11-2016,Nalgonda,November,21046,2016
01-03-2017,Nalgonda,March,8054,2017
01-07-2018,Nalgonda,July,9668,2018
01-03-2018,Nalgonda,March,9677,2018
01-05-2018,Nalgonda,May,10241,2018
01-07-2019,Nalgonda,July,19783,2019
01-01-2016,Nalgonda,January,566515,2016
01-10-2016,Nalgonda,October,3508,2016
01-12-2019,Nalgonda,December,13419,2019
01-05-2017,Nalgonda,May,10750,2017
01-06-2018,Nalgonda,June,9066,2018
01-08-2018,Nalgonda,August,10135,2018
01-08-2017,Nalgonda,August,9363,2017
01-08-2016,Nalgonda,August,988102,2016
01-07-2016,Nalgonda,July,582820,2016
01-10-2019,Nalgonda,October,5290,2019
01-12-2018,Nalgonda,December,6777,2018
01-05-2016,Nalgonda,May,628872,2016
01-04-2016,Nalgonda,April,601253,2016
01-06-2016,Nalgonda,June,551239,2016
01-04-2018,Nalgonda,April,9779,2018
01-09-2019,Narayanapet,September,62841,2019
01-10-2019,Narayanapet,October,58213,2019
01-04-2019,Narayanapet,April,0,2019
01-11-2019,Narayanapet,November,62750,2019
01-02-2019,Narayanapet,February,0,2019
01-01-2019,Narayanapet,January,0,2019
01-07-2019,Narayanapet,July,68842,2019
01-12-2019,Narayanapet,December,64355,2019
01-03-2019,Narayanapet,March,0,2019
01-08-2019,Narayanapet,August,72249,2019
01-05-2019,Narayanapet,May,0,2019
01-06-2019,Narayanapet,June,0,2019
01-02-2019,Nirmal,February,443898,2019
01-11-2018,Nirmal,November,289169,2018
01-12-2019,Nirmal,December,296050,2019
01-01-2017,Nirmal,January,340311,2017
01-11-2017,Nirmal,November,369365,2017
01-10-2017,Nirmal,October,388644,2017
01-02-2017,Nirmal,February,415326,2017
01-04-2017,Nirmal,April,274132,2017
01-05-2017,Nirmal,May,297233,2017
01-08-2019,Nirmal,August,334646,2019
01-09-2017,Nirmal,September,528540,2017
01-08-2017,Nirmal,August,340430,2017
01-09-2016,Nirmal,September,0,2016
01-11-2016,Nirmal,November,201388,2016
01-03-2017,Nirmal,March,442057,2017
01-10-2016,Nirmal,October,475955,2016
01-12-2016,Nirmal,December,239267,2016
01-05-2019,Nirmal,May,149705,2019
01-04-2019,Nirmal,April,327971,2019
01-05-2018,Nirmal,May,342650,2018
01-12-2018,Nirmal,December,361461,2018
01-06-2019,Nirmal,June,349747,2019
01-07-2019,Nirmal,July,359495,2019
01-06-2017,Nirmal,June,340359,2017
01-09-2019,Nirmal,September,299827,2019
01-11-2019,Nirmal,November,253388,2019
01-01-2019,Nirmal,January,313675,2019
01-03-2019,Nirmal,March,424964,2019
01-08-2016,Nirmal,August,0,2016
01-07-2017,Nirmal,July,328101,2017
01-12-2017,Nirmal,December,340585,2017
01-03-2016,Nirmal,March,0,2016
01-01-2016,Nirmal,January,0,2016
01-02-2016,Nirmal,February,0,2016
01-03-2018,Nirmal,March,328099,2018
01-06-2018,Nirmal,June,355197,2018
01-04-2018,Nirmal,April,368645,2018
01-05-2016,Nirmal,May,0,2016
01-01-2018,Nirmal,January,480241,2018
01-07-2018,Nirmal,July,335356,2018
01-08-2018,Nirmal,August,313910,2018
01-09-2018,Nirmal,September,293859,2018
01-04-2016,Nirmal,April,0,2016
01-10-2018,Nirmal,October,373291,2018
01-02-2018,Nirmal,February,335447,2018
01-07-2016,Nirmal,July,0,2016
01-10-2019,Nirmal,October,263412,2019
01-06-2016,Nirmal,June,0,2016
01-03-2016,Nizamabad,March,408,2016
01-04-2016,Nizamabad,April,476,2016
01-05-2016,Nizamabad,May,554,2016
01-07-2016,Nizamabad,July,644,2016
01-09-2016,Nizamabad,September,553,2016
01-10-2016,Nizamabad,October,434,2016
01-12-2016,Nizamabad,December,355,2016
01-08-2016,Nizamabad,August,589,2016
01-09-2019,Nizamabad,September,6572,2019
01-11-2016,Nizamabad,November,617,2016
01-02-2016,Nizamabad,February,869,2016
01-12-2019,Nizamabad,December,11400,2019
01-01-2016,Nizamabad,January,576,2016
01-01-2018,Nizamabad,January,2495,2018
01-06-2016,Nizamabad,June,367,2016
01-05-2019,Nizamabad,May,1193,2019
01-11-2019,Nizamabad,November,11950,2019
01-02-2018,Nizamabad,February,7152,2018
01-04-2019,Nizamabad,April,958,2019
01-03-2019,Nizamabad,March,938,2019
01-10-2019,Nizamabad,October,8849,2019
01-06-2019,Nizamabad,June,686,2019
01-08-2019,Nizamabad,August,1004,2019
01-11-2017,Nizamabad,November,1677,2017
01-12-2017,Nizamabad,December,1787,2017
01-03-2017,Nizamabad,March,660,2017
01-06-2018,Nizamabad,June,1761,2018
01-09-2017,Nizamabad,September,933,2017
01-04-2017,Nizamabad,April,1048,2017
01-02-2017,Nizamabad,February,1752,2017
01-05-2017,Nizamabad,May,1341,2017
01-06-2017,Nizamabad,June,2391,2017
01-08-2017,Nizamabad,August,1583,2017
01-04-2018,Nizamabad,April,3550,2018
01-01-2017,Nizamabad,January,613,2017
01-03-2018,Nizamabad,March,2903,2018
01-07-2017,Nizamabad,July,1520,2017
01-02-2019,Nizamabad,February,915,2019
01-07-2019,Nizamabad,July,990,2019
01-12-2018,Nizamabad,December,355,2018
01-11-2018,Nizamabad,November,475,2018
01-09-2018,Nizamabad,September,475,2018
01-08-2018,Nizamabad,August,10525,2018
01-10-2018,Nizamabad,October,490,2018
01-10-2017,Nizamabad,October,6644,2017
01-07-2018,Nizamabad,July,5882,2018
01-01-2019,Nizamabad,January,878,2019
01-05-2018,Nizamabad,May,5360,2018
01-06-2019,Peddapalli,June,735,2019
01-09-2016,Peddapalli,September,0,2016
01-08-2019,Peddapalli,August,1505,2019
01-02-2019,Peddapalli,February,1157,2019
01-07-2019,Peddapalli,July,1085,2019
01-10-2019,Peddapalli,October,2080,2019
01-01-2019,Peddapalli,January,1055,2019
01-11-2019,Peddapalli,November,2225,2019
01-04-2019,Peddapalli,April,942,2019
01-12-2019,Peddapalli,December,2315,2019
01-05-2019,Peddapalli,May,802,2019
01-09-2017,Peddapalli,September,1155,2017
01-03-2019,Peddapalli,March,895,2019
01-01-2018,Peddapalli,January,2670,2018
01-06-2018,Peddapalli,June,1580,2018
01-01-2016,Peddapalli,January,0,2016
01-11-2016,Peddapalli,November,1145,2016
01-02-2016,Peddapalli,February,0,2016
01-12-2016,Peddapalli,December,1149,2016
01-07-2017,Peddapalli,July,1095,2017
01-08-2017,Peddapalli,August,1385,2017
01-12-2017,Peddapalli,December,1765,2017
01-10-2017,Peddapalli,October,1595,2017
01-09-2019,Peddapalli,September,1785,2019
01-11-2018,Peddapalli,November,1655,2018
01-05-2017,Peddapalli,May,640,2017
01-08-2016,Peddapalli,August,0,2016
01-06-2017,Peddapalli,June,885,2017
01-04-2017,Peddapalli,April,750,2017
01-01-2017,Peddapalli,January,1345,2017
01-02-2017,Peddapalli,February,1378,2017
01-03-2017,Peddapalli,March,965,2017
01-11-2017,Peddapalli,November,1940,2017
01-09-2018,Peddapalli,September,1475,2018
01-07-2018,Peddapalli,July,1580,2018
01-03-2016,Peddapalli,March,0,2016
01-07-2016,Peddapalli,July,0,2016
01-10-2016,Peddapalli,October,950,2016
01-06-2016,Peddapalli,June,0,2016
01-04-2018,Peddapalli,April,1940,2018
01-05-2016,Peddapalli,May,0,2016
01-04-2016,Peddapalli,April,0,2016
01-03-2018,Peddapalli,March,2325,2018
01-02-2018,Peddapalli,February,2695,2018
01-10-2018,Peddapalli,October,1545,2018
01-12-2018,Peddapalli,December,1695,2018
01-08-2018,Peddapalli,August,1595,2018
01-05-2018,Peddapalli,May,1499,2018
01-09-2018,Rajanna Sircilla ,September,818693,2018
01-12-2018,Rajanna Sircilla ,December,950128,2018
01-04-2019,Rajanna Sircilla ,April,1148062,2019
01-12-2019,Rajanna Sircilla ,December,1472801,2019
01-01-2017,Rajanna Sircilla ,January,615842,2017
01-02-2019,Rajanna Sircilla ,February,1015550,2019
01-11-2018,Rajanna Sircilla ,November,840933,2018
01-11-2017,Rajanna Sircilla ,November,1191129,2017
01-10-2017,Rajanna Sircilla ,October,845620,2017
01-03-2019,Rajanna Sircilla ,March,1444971,2019
01-07-2018,Rajanna Sircilla ,July,937720,2018
01-03-2017,Rajanna Sircilla ,March,1030441,2017
01-09-2017,Rajanna Sircilla ,September,487060,2017
01-12-2017,Rajanna Sircilla ,December,1649362,2017
01-06-2018,Rajanna Sircilla ,June,320886,2018
01-04-2018,Rajanna Sircilla ,April,833874,2018
01-04-2017,Rajanna Sircilla ,April,1146782,2017
01-02-2017,Rajanna Sircilla ,February,1255569,2017
01-06-2017,Rajanna Sircilla ,June,1113882,2017
01-07-2017,Rajanna Sircilla ,July,462022,2017
01-10-2018,Rajanna Sircilla ,October,506563,2018
01-07-2019,Rajanna Sircilla ,July,422961,2019
01-06-2019,Rajanna Sircilla ,June,1128849,2019
01-08-2017,Rajanna Sircilla ,August,1004410,2017
01-05-2018,Rajanna Sircilla ,May,1021952,2018
01-10-2016,Rajanna Sircilla ,October,534484,2016
01-06-2016,Rajanna Sircilla ,June,0,2016
01-03-2018,Rajanna Sircilla ,March,1022669,2018
01-02-2018,Rajanna Sircilla ,February,1021787,2018
01-01-2018,Rajanna Sircilla ,January,2238074,2018
01-09-2019,Rajanna Sircilla ,September,501293,2019
01-08-2019,Rajanna Sircilla ,August,586118,2019
01-09-2016,Rajanna Sircilla ,September,0,2016
01-10-2019,Rajanna Sircilla ,October,646492,2019
01-08-2016,Rajanna Sircilla ,August,0,2016
01-12-2016,Rajanna Sircilla ,December,778240,2016
01-11-2016,Rajanna Sircilla ,November,864077,2016
01-05-2016,Rajanna Sircilla ,May,0,2016
01-07-2016,Rajanna Sircilla ,July,0,2016
01-05-2019,Rajanna Sircilla ,May,1018131,2019
01-01-2019,Rajanna Sircilla ,January,6188298,2019
01-11-2019,Rajanna Sircilla ,November,1259371,2019
01-01-2016,Rajanna Sircilla ,January,0,2016
01-05-2017,Rajanna Sircilla ,May,1117228,2017
01-02-2016,Rajanna Sircilla ,February,0,2016
01-03-2016,Rajanna Sircilla ,March,0,2016
01-04-2016,Rajanna Sircilla ,April,0,2016
01-08-2018,Rajanna Sircilla ,August,320952,2018
01-02-2019,Ranga Reddy,February,0,2019
01-03-2019,Ranga Reddy,March,0,2019
01-01-2019,Ranga Reddy,January,0,2019
01-10-2019,Ranga Reddy,October,0,2019
01-08-2019,Ranga Reddy,August,0,2019
01-07-2019,Ranga Reddy,July,0,2019
01-06-2019,Ranga Reddy,June,0,2019
01-05-2019,Ranga Reddy,May,0,2019
01-04-2019,Ranga Reddy,April,0,2019
01-09-2019,Ranga Reddy,September,0,2019
01-12-2019,Ranga Reddy,December,0,2019
01-03-2017,Ranga Reddy,March,0,2017
01-05-2017,Ranga Reddy,May,0,2017
01-09-2017,Ranga Reddy,September,0,2017
01-11-2016,Ranga Reddy,November,0,2016
01-10-2016,Ranga Reddy,October,0,2016
01-01-2016,Ranga Reddy,January,0,2016
01-02-2016,Ranga Reddy,February,0,2016
01-03-2016,Ranga Reddy,March,0,2016
01-04-2016,Ranga Reddy,April,0,2016
01-05-2016,Ranga Reddy,May,0,2016
01-04-2017,Ranga Reddy,April,0,2017
01-06-2016,Ranga Reddy,June,0,2016
01-11-2019,Ranga Reddy,November,0,2019
01-07-2016,Ranga Reddy,July,0,2016
01-08-2016,Ranga Reddy,August,0,2016
01-12-2016,Ranga Reddy,December,0,2016
01-10-2017,Ranga Reddy,October,0,2017
01-12-2017,Ranga Reddy,December,0,2017
01-11-2017,Ranga Reddy,November,0,2017
01-01-2017,Ranga Reddy,January,0,2017
01-08-2017,Ranga Reddy,August,0,2017
01-07-2017,Ranga Reddy,July,0,2017
01-06-2017,Ranga Reddy,June,0,2017
01-11-2018,Ranga Reddy,November,0,2018
01-09-2016,Ranga Reddy,September,0,2016
01-08-2018,Ranga Reddy,August,0,2018
01-12-2018,Ranga Reddy,December,0,2018
01-04-2018,Ranga Reddy,April,0,2018
01-02-2018,Ranga Reddy,February,0,2018
01-01-2018,Ranga Reddy,January,0,2018
01-05-2018,Ranga Reddy,May,0,2018
01-07-2018,Ranga Reddy,July,0,2018
01-03-2018,Ranga Reddy,March,0,2018
01-10-2018,Ranga Reddy,October,0,2018
01-09-2018,Ranga Reddy,September,0,2018
01-02-2017,Ranga Reddy,February,0,2017
01-06-2018,Ranga Reddy,June,0,2018
01-08-2016,Sangareddy ,August,0,2016
01-02-2016,Sangareddy ,February,0,2016
01-01-2016,Sangareddy ,January,0,2016
01-05-2016,Sangareddy ,May,0,2016
01-07-2016,Sangareddy ,July,0,2016
01-12-2016,Sangareddy ,December,155000,2016
01-06-2016,Sangareddy ,June,0,2016
01-10-2016,Sangareddy ,October,274000,2016
01-04-2016,Sangareddy ,April,0,2016
01-05-2018,Sangareddy ,May,157000,2018
01-03-2016,Sangareddy ,March,0,2016
01-10-2017,Sangareddy ,October,232000,2017
01-07-2018,Sangareddy ,July,108600,2018
01-02-2017,Sangareddy ,February,140000,2017
01-01-2017,Sangareddy ,January,195000,2017
01-09-2017,Sangareddy ,September,200000,2017
01-05-2019,Sangareddy ,May,133000,2019
01-02-2018,Sangareddy ,February,540000,2018
01-09-2016,Sangareddy ,September,0,2016
01-03-2018,Sangareddy ,March,158500,2018
01-01-2019,Sangareddy ,January,144000,2019
01-02-2019,Sangareddy ,February,148000,2019
01-04-2018,Sangareddy ,April,162500,2018
01-12-2019,Sangareddy ,December,478470,2019
01-11-2019,Sangareddy ,November,481720,2019
01-09-2018,Sangareddy ,September,125000,2018
01-08-2018,Sangareddy ,August,205000,2018
01-12-2017,Sangareddy ,December,356950,2017
01-11-2017,Sangareddy ,November,324500,2017
01-08-2017,Sangareddy ,August,295000,2017
01-04-2017,Sangareddy ,April,215000,2017
01-07-2017,Sangareddy ,July,195000,2017
01-05-2017,Sangareddy ,May,215000,2017
01-11-2016,Sangareddy ,November,349000,2016
01-01-2018,Sangareddy ,January,254000,2018
01-10-2018,Sangareddy ,October,171800,2018
01-06-2017,Sangareddy ,June,180000,2017
01-03-2019,Sangareddy ,March,747000,2019
01-09-2019,Sangareddy ,September,468350,2019
01-08-2019,Sangareddy ,August,466150,2019
01-11-2018,Sangareddy ,November,160000,2018
01-12-2018,Sangareddy ,December,134000,2018
01-06-2018,Sangareddy ,June,93500,2018
01-03-2017,Sangareddy ,March,275000,2017
01-04-2019,Sangareddy ,April,205000,2019
01-10-2019,Sangareddy ,October,467470,2019
01-06-2019,Sangareddy ,June,347000,2019
01-07-2019,Sangareddy ,July,467000,2019
01-02-2017,Siddipet,February,80500,2017
01-09-2018,Siddipet,September,55000,2018
01-04-2017,Siddipet,April,80500,2017
01-10-2018,Siddipet,October,43000,2018
01-11-2018,Siddipet,November,135000,2018
01-12-2018,Siddipet,December,50000,2018
01-02-2018,Siddipet,February,44000,2018
01-03-2017,Siddipet,March,80500,2017
01-05-2017,Siddipet,May,80500,2017
01-08-2018,Siddipet,August,100000,2018
01-08-2017,Siddipet,August,97405,2017
01-12-2017,Siddipet,December,142612,2017
01-01-2017,Siddipet,January,80500,2017
01-04-2018,Siddipet,April,115000,2018
01-06-2018,Siddipet,June,104300,2018
01-03-2018,Siddipet,March,164800,2018
01-10-2017,Siddipet,October,117861,2017
01-06-2017,Siddipet,June,60000,2017
01-11-2017,Siddipet,November,129647,2017
01-10-2019,Siddipet,October,191330,2019
01-07-2017,Siddipet,July,88550,2017
01-07-2018,Siddipet,July,54000,2018
01-09-2017,Siddipet,September,107146,2017
01-01-2019,Siddipet,January,140793,2019
01-02-2019,Siddipet,February,199549,2019
