,district,year,visitors
0,Adilabad,2016,5075557
1,Bhadradri Kothagudem ,2016,889030
2,Hyderabad,2016,23394705
3,Jagtial ,2016,623077
4,Jangaon ,2016,40660
5,Jayashankar Bhoopalpally,2016,243400
6,Jogulamba Gadwal ,2016,523401
7,Kamareddy ,2016,127
8,Karimnagar ,2016,9167468
9,Khammam,2016,5005031
10,Komaram Bheem Asifabad,2016,0
11,Mahabubabad ,2016,140002
12,Mahbubnagar,2016,8304766
13,Mancherial,2016,7802
14,Medak ,2016,3463200
15,Medchal ,2016,0
16,Nagarkurnool ,2016,588473
17,Nalgonda,2016,5858461
18,Nirmal,2016,916610
19,Nizamabad,2016,6442
20,Peddapalli,2016,3244
21,Rajanna Sircilla ,2016,2176801
22,Ranga Reddy,2016,0
23,Sangareddy ,2016,778000
24,Siddipet,2016,358400
25,Suryapet,2016,0
26,Vikarabad,2016,0
27,Wanaparthy ,2016,60138
28,Warangal (Rural),2016,19400
29,Warangal (Urban),2016,25788035
30,Yadadri Bhongir,2016,1728600
